EnsaioId;line;Conc Albumina;Conc Creatinina;Conc Ureia;Estadio;LED1_avg;LED2_avg;LED3_avg;LED4_avg;LED5_avg;LED6_avg
935;15;4;0,8;34;Estadio 1;2,66042;0,381866;2,65571;0,789699;2,66518;1,79053
935;15;4;0,8;34;Estadio 1;2,66057;0,38182;2,65579;0,789025;2,66527;1,792
935;15;4;0,8;34;Estadio 1;2,6605;0,381721;2,65573;0,78928;2,66524;1,79891
916;6;4;0,9;32;Estadio 0;2,66014;0,380292;2,65533;0,808256;2,66486;1,77833
916;6;4;0,9;32;Estadio 0;2,66014;0,380283;2,65525;0,808742;2,66487;1,77519
916;6;4;0,9;32;Estadio 0;2,66009;0,380321;2,65529;0,808568;2,66487;1,77506
916;6;4;0,9;32;Estadio 0;2,66009;0,380329;2,65527;0,808653;2,66484;1,77452
916;6;4;0,9;32;Estadio 0;2,6601;0,380293;2,65533;0,808656;2,66486;1,77202
916;6;4;0,9;32;Estadio 0;2,66013;0,380201;2,6553;0,808591;2,66482;1,77217
916;6;4;0,9;32;Estadio 0;2,66;0,380235;2,65525;0,808475;2,66476;1,77377
916;6;4;0,9;32;Estadio 0;2,65999;0,380216;2,65528;0,808494;2,66487;1,77418
916;6;4;0,9;32;Estadio 0;2,66004;0,380221;2,6553;0,808736;2,6648;1,77428
916;6;4;0,9;32;Estadio 0;2,66008;0,380165;2,65511;0,808235;2,6648;1,77174
939;22;4,5;1,4;55;Estadio 2;2,66056;0,382177;2,65578;0,788918;2,66515;1,76489
939;22;4,5;1,4;55;Estadio 2;2,66043;0,382055;2,65583;0,788729;2,66519;1,76473
939;22;4,5;1,4;55;Estadio 2;2,66051;0,381993;2,65582;0,788324;2,66524;1,76712
939;22;4,5;1,4;55;Estadio 2;2,66048;0,382021;2,65581;0,788428;2,6652;1,76149
939;22;4,5;1,4;55;Estadio 2;2,66035;0,382092;2,65573;0,788311;2,66504;1,7588
939;22;4,5;1,4;55;Estadio 2;2,66037;0,381739;2,65562;0,78825;2,66503;1,76129
939;22;4,5;1,4;55;Estadio 2;2,66045;0,381532;2,65574;0,787827;2,66521;1,76415
939;22;4,5;1,4;55;Estadio 2;2,66055;0,381849;2,65595;0,788286;2,66531;1,75965
939;22;4,5;1,4;55;Estadio 2;2,66024;0,382197;2,65554;0,788857;2,66494;1,76109
939;22;4,5;1,4;55;Estadio 2;2,66015;0,38197;2,65549;0,787973;2,66488;1,75968
941;23;4,4;1,16;38;Estadio 2;2,66042;0,382081;2,6558;0,78994;2,66513;1,77112
941;23;4,4;1,16;38;Estadio 2;2,66037;0,382108;2,65564;0,789779;2,66511;1,77349
941;23;4,4;1,16;38;Estadio 2;2,6603;0,382156;2,65557;0,790052;2,66503;1,76726
941;23;4,4;1,16;38;Estadio 2;2,66033;0,382111;2,65561;0,789924;2,66501;1,76544
